imageId;category;imagePath
37;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/37_7854928366_f35536e47a_o.jpg
38;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/38_8612307592_5948f7d24b_o.jpg
39;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/39_28255590309_4c1412b0e2_o.jpg
40;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/40_10008631324_3c61ea8dbb_o.jpg
41;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/41_6341579665_572a2fb9e3_o.jpg
42;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/42_4152675183_5a6bb9e62b_o.jpg
43;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/43_48041938502_497599bb8a_o.jpg
44;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/44_40018365084_19b6e585bc_o.jpg
45;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/45_14416986591_a9ab3f95c3_o.jpg
46;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/46_7997864087_3ef17cfb7e_o.jpg
47;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/47_9637930308_c7dd28fcce_o.jpg
48;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/48_6294882383_498624f097_o.jpg
49;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/49_6875154296_517ba6a41d_o.jpg
50;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/50_59557032_24f672130b_o.jpg
51;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/51_8728178651_437957df49_o.jpg
52;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/52_16039727146_1dc99ef804_o.jpg
53;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/53_8127718746_2bea9a754c_o.jpg
54;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/54_6848818478_9ab66e846b_o.jpg
55;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/55_14277229595_081299edab_o.jpg
56;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/56_4742534817_60204f483b_o.jpg
57;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/57_6675381079_d206f8faf8_o.jpg
58;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/58_5647886150_8e4e46ee64_o.jpg
59;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/59_5328505062_0db8b0bba2_o.jpg
60;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/60_7560050614_9de36cf3cd_o.jpg
61;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/61_9736485307_b5a0d49f5f_o.jpg
62;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/62_2210643804_b5849bf0c4_o.jpg
63;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/63_10715733895_45c1c43b12_o.jpg
64;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/64_34860289220_a96073be36_o.jpg
65;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/65_170445663_88195d283e_o.jpg
66;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/66_6981146979_79d03caa86_o.jpg
67;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/67_6114427450_55207ddf52_o.jpg
68;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/68_7925572724_a93f3f1a7f_o.jpg
69;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/69_4803868360_0f6176a630_o.jpg
70;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/70_12112577475_8db64701b9_o.jpg
71;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/71_7661811244_d90febf9bb_o.jpg
72;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/72_35861334152_b8883b9c2a_o.jpg
73;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/73_14721901368_5decb69c49_o.jpg
74;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/74_15679748654_a1e472bf28_o.png
75;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/75_2924674925_70d9ba5d91_o.jpg
76;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/76_4035609020_02b186e30e_o.jpg
77;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/77_7361404966_ff4f2f205a_o.jpg
78;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/78_6197930048_6a4dc68863_o.jpg
79;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/79_9736487003_442b5e29d6_o.jpg
80;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/80_517235884_e1b938958c_o.jpg
81;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/81_14554089711_4b49a0a220_o.jpg
82;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/82_3434623631_48b32dda13_o.jpg
83;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/83_5210580239_7cf6d21081_o.jpg
84;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/84_48041873513_e64062439f_o.jpg
85;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/85_9229042935_6218bce2cb_o.jpg
86;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/86_5975314337_cc38f362a3_o.jpg
87;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/87_8806419442_d7f0ff8906_o.jpg
88;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/88_16408278412_319b8cecd8_o.jpg
89;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/89_2737010659_006e619fc6_o.jpg
90;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/90_17085353826_353cffa663_o.jpg
91;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/91_17151045047_3969131559_o.jpg
92;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/92_3197099093_7bf5695df4_o.jpg
93;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/93_25993330175_ddb40fe942_o.jpg
94;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/94_14520432097_160b56ba2e_o.jpg
95;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/95_2062188094_be10c8a495_o.jpg
96;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/96_23702840554_51cce75a36_o.jpg
97;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/97_7856496758_b4202305e2_o.jpg
98;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/98_11260886736_473dc6907a_o.jpg
99;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/99_8198051514_b7a6e2d2f5_o.jpg
100;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/100_6626068585_42fce3c437_o.jpg
101;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/101_8747824938_450dbe471d_o.jpg
102;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/102_6040888856_d1ae72466d_o.jpg
103;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/103_4040601873_3517b8ae0e_o.jpg
104;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/104_6860149074_a6934abc40_o.jpg
105;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/105_2100417490_7d75eeb582_o.jpg
106;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/106_4768357051_5cd5f41f87_o.jpg
107;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/107_8608777284_344c9607be_o.jpg
108;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/108_42710238860_0e03031efd_o.png
109;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/109_11056397583_4ecdd6fc9f_o.jpg
110;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/110_4871809930_50dc3d6984_o.jpg
111;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/111_2348966271_109a887b8b_o.jpg
112;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/112_15931992384_5846b1d9ff_o.jpg
113;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/113_49202923246_7c3d492778_o.jpg
114;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/114_5680551445_9feb5b869a_o.jpg
115;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/115_49048622657_0cee648343_o.jpg
116;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/116_5495725075_fb531c3408_o.jpg
117;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/117_14955545010_534b9617d7_o.jpg
118;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/118_2676286644_a64084692d_o.jpg
119;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/119_63850418_8ad7a60423_o.jpg
120;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/120_2327856742_620fa8591c_o.jpg
121;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/121_4504778684_d6841c2ecd_o.jpg
122;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/122_34589270622_7f8585d891_o.jpg
123;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/123_7661312652_0a3a578cc3_o.jpg
124;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/124_14224418231_d4c0e1670a_o.jpg
125;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/125_5047032408_0dcee8c9f8_o.jpg
126;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/126_7950723688_f4c2dabe9a_o.jpg
127;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/127_24880073016_875264f384_o.jpg
128;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/128_4816497443_bcfb2973b0_o.jpg
129;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/129_16931690246_f2eacde176_o.jpg
130;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/130_26031454344_e9712b7701_o.jpg
131;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/131_16536720835_b5341008fe_o.jpg
132;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/132_6363039169_916f8a847d_o.jpg
133;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/133_11442316003_46c41f2ced_o.jpg
134;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/134_6636215117_5165455ea6_o.jpg
135;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/135_6685040725_e116c9fe5a_o.jpg
136;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/136_7661811590_140c2b9347_o.jpg
137;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/137_4653348298_b9bce499ae_o.jpg
138;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/138_49059963272_0aa4854d7e_o.jpg
139;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/139_48784832181_50d9b94a79_o.jpg
140;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/140_6680374459_853f7c919d_o.jpg
141;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/141_3056953388_5e9b424deb_o.jpg
142;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/142_4218036799_d3c80c81ae_o.jpg
143;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/143_24853515426_2a5f2be0a4_o.jpg
144;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/144_11529076353_913a6af960_o.jpg
145;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/145_50312160967_a21d6a2957_o.jpg
146;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/146_49108710571_76fc103927_o.jpg
147;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/147_5397264359_2df3950be2_o.jpg
148;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/148_8248174919_eef5ca4fd4_o.jpg
149;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/149_5780254862_5988d84110_o.jpg
150;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/150_9222332810_9c1cde913e_o.jpg
151;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/151_9736487237_b677b10f41_o.jpg
152;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/152_2154587934_c227ebe3a3_o.jpg
153;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/153_13442388365_04b871756a_o.jpg
154;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/154_15673434118_3220cb5e47_o.jpg
155;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/155_11676450325_5c7b2d6da9_o.jpg
156;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/156_14330266_31d968488c_o.jpg
157;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/157_8754877339_d172ace989_o.jpg
158;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/158_3351216279_464dab0815_o.jpg
159;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/159_1598380111_830d8e1751_o.jpg
160;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/160_15949993563_ccbdca2a39_o.jpg
161;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/161_7578966218_8f92711ac7_o.jpg
162;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/162_14545160083_9b202e21d0_o.jpg
163;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/163_4648617365_6e1e515f35_o.jpg
164;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/164_4742074137_7822e132de_o.jpg
165;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/165_14920604135_64078d031f_o.jpg
166;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/166_17426201136_203f5209b4_o.jpg
167;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/167_7938746880_882725382a_o.jpg
168;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/168_479627824_a19de5fbee_o.jpg
169;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/169_11545631785_6788577ea8_o.jpg
170;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/170_4007011990_eff63ab413_o.jpg
171;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/171_7815687058_96106126ec_o.jpg
172;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/172_7615827574_abe7394551_o.jpg
173;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/173_4569637226_2bd44109fb_o.jpg
174;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/174_12000399433_b9c1235f0e_o.jpg
175;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/175_7664070462_ff23fe2a29_o.jpg
176;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/176_47473001921_8f0416002d_o.jpg
177;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/177_14498631624_da1cc1b6fa_o.jpg
178;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/178_11521107044_ac2a247144_o.jpg
179;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/179_305783109_3df19a3555_o.jpg
180;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/180_49628840998_a42f1b20bf_o.jpg
181;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/181_6937618351_6ab8347c77_o.jpg
182;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/182_892945556_c0a7e051fc_o.jpg
183;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/183_14190413558_1c91d3d067_o.jpg
184;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/184_4580951085_3de4f41fd0_o.jpg
185;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/185_2632383574_a90715a2b9_o.jpg
186;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/186_3517556519_275a3f36eb_o.jpg
187;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/187_2872982380_3a05989950_o.jpg
188;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/188_24186822775_6a9ce0af75_o.jpg
189;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/189_5141412269_7b52f17575_o.jpg
190;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/190_14397679533_40cfd90054_o.jpg
191;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/191_9521922267_1574c471d6_o.jpg
192;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/192_16246807237_8bdc6ffe06_o.jpg
193;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/193_330654754_312461ff50_o.jpg
194;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/194_34757765343_c1f4a12f53_o.jpg
195;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/195_2192630997_bb28b0802f_o.jpg
196;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/196_12259673395_8018f08902_o.jpg
197;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/197_7019867913_ffc62b3928_o.jpg
198;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/198_81193585_1b24e61c00_o.jpg
199;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/199_2457281193_5cf0868190_o.jpg
200;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/200_2697267062_d5f026f961_o.jpg
201;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/201_6600706427_808b75a5da_o.jpg
202;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/202_15407578554_d9c4bca145_o.jpg
203;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/203_2820191540_c3c5a1db2d_o.jpg
204;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/204_73738425_311621bedb_o.jpg
205;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/205_130742388_2759562ea4_o.jpg
206;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/206_6130005018_3ff732eedc_o.jpg
207;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/207_48763561263_722e99e54f_o.jpg
208;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/208_20225857930_bc9fb004f6_o.jpg
209;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/209_4858413949_4399ae83e9_o.jpg
210;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/210_341361972_9eb88f9074_o.jpg
211;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/211_5931596899_c1dd41b71f_o.jpg
212;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/212_5715716742_5aec16c09d_o.jpg
213;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/213_449030006_88308658fc_o.jpg
214;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/214_2417169087_4bb9a45f18_o.jpg
215;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/215_48829700852_dc96b517f2_o.jpg
216;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/216_4265462122_9cf12423a0_o.jpg
217;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/217_15705996249_8519b7d43f_o.png
218;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/218_6400733303_23f2a30970_o.jpg
219;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/219_5327892367_454a17f409_o.jpg
220;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/220_60929322_2e4c85a7dd_o.jpg
221;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/221_22482780656_01f0fe66b1_o.jpg
222;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/222_8751185699_ce03d47868_o.jpg
223;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/223_2129555467_36ae07bf07_o.jpg
224;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/224_26385534_917275b33e_o.jpg
225;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/225_6295413648_40c7e0d865_o.jpg
226;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/226_6294890147_a9414f6226_o.jpg
227;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/227_6295421410_4dca81fa4a_o.jpg
228;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/228_5934421455_33d16dc7d4_o.jpg
229;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/229_6797174532_17646603b0_o.jpg
230;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/230_49915462143_f90139c7ef_o.jpg
